survey_date,governorate,district,village_name,irrigation_system_type,crop_type,land_prep_plowing_cost_per_acre,land_prep_settlement_cost_per_acre,land_prep_division_cost_per_acre,land_prep_terracing_cost_per_acre,land_prep_total_cost,land_prep_workers_count,land_prep_worker_wage_per_day,land_prep_working_days,land_prep_labor_total_cost,land_prep_grand_total_cost,nursery_prep_total_cost,cultivation_laborers_count,cultivation_seeds_quantity,cultivation_worker_wage_per_day,cultivation_labor_total_cost,fertilizer_quantity_kg,fertilizer_cost_yer,fertilizer_total_cost,production_quantity_baskets_kg,production_harvest_frequency_per_month,production_total_harvest_cost,production_harvest_labor_cost,production_final_harvest_cost_yer,pest_control_type,pest_control_biological,pest_control_mechanical,pest_control_chemical,pest_control_other,pest_control_chemical_materials_cost,pest_control_workers_count,pest_control_worker_wage_per_day,pest_control_working_days,pest_control_labor_total_cost,pest_control_grand_total_cost,water_meter_reading,water_pumping_hours_per_irrigation,water_irrigation_frequency_per_month,water_calculated_hours_per_month,water_diesel_cost,water_workers_count,water_worker_wage_per_day,water_working_days_per_month,water_labor_total_cost,water_grand_total_cost,water_pumping_mechanism_type,water_engine_hours_per_acre_per_day,water_diesel_quantity_last_month,water_diesel_cost_last_month,record_index,total_cost,production_kg,cost_per_kg,production_efficiency,land_prep_grand_total_cost_pct,nursery_prep_total_cost_pct,cultivation_labor_total_cost_pct,fertilizer_total_cost_pct,production_final_harvest_cost_yer_pct,pest_control_grand_total_cost_pct,water_grand_total_cost_pct,is_drip_irrigation,is_traditional_irrigation,survey_year,survey_month,survey_month_name
2020-01-07,Lahj,Tuban,كدمه عوض علي,Traditional,Eggplant,42000,16000,16000,12000,86000,8,1500,1,12000,98000,120000,2,2000,1,4000,25,720,18000,120.0,1.0,250,30000,15000.0,مكافحة كيمياوية (باستخدام المبيدات),0,0,1,0,10000.0,2,4000,2,16000,26000,294,12,4,160.0,64000,2,5000,4,40000,104000,مضخات الديزل,12,100,64000,11,385000.0,120.0,3208.3333333333335,0.3116883116883117,25.454545454545453,31.16883116883117,1.0389610389610389,4.675324675324675,3.896103896103896,6.753246753246753,27.01298701298701,0,1,2020,1,January
2020-01-27,Lahj,Tuban,بئر فضل,Drip,Eggplant,0,0,0,0,0,0,0,0,0,0,120000,2,2000,1,4000,0,0,0,0.0,1.0,0,0,0.0,"اخرى(باستخدام الدورة الزراعية, خدمة الارض مثل تقليب الارض/ ازالة الحشائش / الري والتسميد/ زراعة الاصناف المقاومة للافات)",0,0,0,1,,2,2000,6,24000,24000,115,2,10,66.7,26680,1,2000,10,20000,46680,مضخات الديزل,2,40,16000,22,194680.0,0.0,,0.0,0.0,61.63961372508733,2.054653790836244,0.0,0.0,12.327922745017464,23.97780973905897,1,0,2020,1,January
2020-01-08,Lahj,Tuban,كوكبان,Traditional,Tomato,14000,28000,14000,14000,70000,4,4000,1,16000,86000,120000,2,4000,2,16000,70,700,49000,3200.0,5.0,150,480000,410000.0,مكافحة كيمياوية (باستخدام المبيدات),0,0,1,0,63000.0,3,3000,3,27000,90000,343,16,7,373.3,149320,2,2500,7,35000,184320,مضخات الديزل,18,280,112000,13,955320.0,3200.0,298.5375,3.349662940166646,9.00221915169786,12.561236025624922,1.674831470083323,5.129171377130176,42.91755642088515,9.420927019218691,19.294058535359877,0,1,2020,1,January
2020-01-08,Lahj,Tuban,هران ديان,Drip,Tomato,24000,21000,14000,0,59000,0,0,0,0,59000,120000,6,3000,2,36000,60,750,45000,800.0,1.0,150,120000,14000.0,مكافحة كيمياوية (باستخدام المبيدات),0,0,1,0,28000.0,1,3000,4,12000,40000,147,4,15,200.0,80000,1,3000,10,30000,110000,مضخات الديزل,4,160,60000,16,424000.0,800.0,530.0,1.8867924528301887,13.915094339622641,28.30188679245283,8.49056603773585,10.61320754716981,3.30188679245283,9.433962264150944,25.943396226415093,1,0,2020,1,January
2020-01-08,Lahj,Tuban,الحمراء,Drip,pepper,24000,21000,0,0,45000,0,0,0,0,45000,120000,3,1500,2,9000,50,700,35000,2000.0,3.0,200,400000,202800.0,مكافحة كيمياوية (باستخدام المبيدات),0,0,1,0,51000.0,3,2000,3,18000,69000,169,4,8,106.7,42680,1,2000,8,16000,58680,مضخات كهرباء,4,0,10000,15,539480.0,2000.0,269.74,3.707273670942389,8.341365759620375,22.243642025654335,1.668273151924075,6.48772892414918,37.59175502335582,12.790094164751242,10.87714095054497,1,0,2020,1,January
2020-01-28,Lahj,Tuban,دار المناصرة,Traditional,pepper,0,0,0,0,0,0,0,0,0,0,120000,4,1500,2,12000,100,700,70000,860.0,2.0,200,172000,700400.0,مكافحة كيمياوية (باستخدام المبيدات),0,0,1,0,6000.0,1,2000,1,2000,8000,254,4,2,26.7,10680,1,2000,2,4000,14680,مضخات الديزل,4,40,16000,27,925080.0,860.0,1075.6744186046512,0.9296493276257188,0.0,12.971851083149566,1.2971851083149566,7.5669131318372465,75.71237082198297,0.864790072209971,1.5868897825052968,0,1,2020,1,January
2020-01-08,Lahj,Tuban,هران ديان,Drip,pepper,40000,30000,0,0,70000,0,0,0,0,70000,50000,6,1500,3,27000,35,740,25900,,,0,0,,"اخرى(باستخدام الدورة الزراعية, خدمة الارض مثل تقليب الارض/ ازالة الحشائش / الري والتسميد/ زراعة الاصناف المقاومة للافات)",0,0,1,1,26000.0,3,3000,3,27000,53000,63,4,15,200.0,80000,1,3000,15,45000,125000,مضخات الديزل,4,10,48000,17,350900.0,,,,19.948703334283273,14.249073810202336,7.694499857509261,7.381020233684811,,15.104018238814476,35.622684525505846,1,0,2020,1,January
2020-01-06,Lahj,Tuban,الوهط,Drip,pepper,14000,0,0,0,14000,0,0,1,0,14000,40000,6,2000,2,24000,100,700,70000,0.0,0.0,0,0,0.0,"اخرى(باستخدام الدورة الزراعية, خدمة الارض مثل تقليب الارض/ ازالة الحشائش / الري والتسميد/ زراعة الاصناف المقاومة للافات)",0,0,1,1,9000.0,2,2000,1,4000,13000,124,4,12,160.0,64000,1,2000,12,24000,88000,مضخات كهرباء,4,0,13000,2,249000.0,0.0,,0.0,5.622489959839357,16.06425702811245,9.63855421686747,28.11244979919679,0.0,5.220883534136546,35.34136546184739,1,0,2020,1,January
2020-01-28,Lahj,Tuban,دار المناصرة,Traditional,pepper,0,0,0,0,0,0,0,0,0,0,120000,4,1500,2,12000,50,1000,50000,140.0,2.0,280,39200,29000.0,مكافحة كيمياوية (باستخدام المبيدات),0,0,1,0,9000.0,1,200,2,400,9400,2051,14,3,140.0,56000,1,4000,3,12000,68000,مضخات الديزل,14,140,56000,28,288400.0,140.0,2060.0,0.4854368932038835,0.0,41.60887656033287,4.160887656033287,17.337031900138697,10.055478502080444,3.259361997226075,23.578363384188627,0,1,2020,1,January
2020-01-28,Lahj,Tuban,دار المناصرة,Traditional,pepper,0,0,0,0,0,0,0,0,0,0,120000,4,1500,2,12000,120,750,90000,200.0,3.0,200,40000,82000.0,مكافحة كيمياوية (باستخدام المبيدات),0,0,1,0,5000.0,1,2000,1,2000,7000,2044,6,4,80.0,32000,4,2000,4,32000,64000,مضخات كهرباء,6,0,16000,29,375000.0,200.0,1875.0,0.5333333333333333,0.0,32.0,3.2,24.0,21.866666666666667,1.866666666666667,17.066666666666666,0,1,2020,1,January
